species,value,species_mod,aphia_id,sens
Aglaophamus rubella,2,Aglaophamus rubella,130345,AZTI
Aglaophamus sinensis,2,Aglaophamus sinensis,332903,AZTI
Aglaophamus sp.,2,Aglaophamus,129366,AZTI
Aglaophamus verrilli,2,Aglaophamus verrilli,157147,AZTI
Aglaophenia acacia,0,Aglaophenia acacia,117274,AZTI
Aglaophenia pluma,0,Aglaophenia pluma,117283,AZTI
Agnezia septentrionalis,2,Agnezia septentrionalis,249788,AZTI
Aidanosagitta crassa,1,Aidanosagitta crassa,266700,AZTI
Aiptasia diaphana,3,Aiptasia diaphana,100858,AZTI
Aiptasia mutabilis,3,Aiptasia mutabilis,100859,AZTI
Akanthophoreus gracilis,1,Akanthophoreus gracilis,136340,AZTI
Akera bullata,1,Akera bullata,138734,AZTI
Akera sp.,1,Akera,137641,AZTI
AKERIDAE,1,AKERIDAE,1753,AZTI
Alaba incerta,0,Alaba incerta,419526,AZTI
Alabina phalacra,2,Alabina phalacra,NA,AZTI
Albunea carabus,1,Albunea carabus,107191,AZTI
Albunea sp.,1,Albunea,106839,AZTI
Alcyonidioides mytili,2,Alcyonidioides mytili,468026,AZTI
Alcyonidium disciforme,2,Alcyonidium disciforme,111598,AZTI
Alcyonidium gelatinosum,2,Alcyonidium gelatinosum,111600,AZTI
Alcyonidium mytili,2,Alcyonidium mytili,111603,AZTI
Alcyonidium parasiticum,2,Alcyonidium parasiticum,111604,AZTI
Alcyonium sp.,1,Alcyonium,125284,AZTI
Alderia modesta,1,Alderia modesta,141555,AZTI
Alentia gelatinosa,0,Alentia gelatinosa,130722,AZTI
Alia aurantiaca,2,Alia aurantiaca,511701,AZTI
Alia carinata,2,Alia carinata,511703,AZTI
Alia gausapata,2,Alia gausapata,511704,AZTI
Alia tuberosa,2,Alia tuberosa,715737,AZTI
Alia unifasciata,1,Alia unifasciata,511707,AZTI
Alienacanthomysis macropsis,2,Alienacanthomysis macropsis,226662,AZTI
Aligena elevata,1,Aligena elevata,156815,AZTI
Aligena peruviana,1,Aligena peruviana,606381,AZTI
Alitta succinea,3,Alitta succinea,234850,AZTI
Alitta virens,3,Alitta virens,234851,AZTI
Alkmaria romijni,3,Alkmaria romijni,129769,AZTI
Allia antennata,2,Allia antennata,NA,AZTI
Allia ramosa,2,Allia ramosa,NA,AZTI
Alloleptochelia longimana,3,Alloleptochelia longimana,880883,AZTI
Allomelita pellucida,3,Allomelita pellucida,102789,AZTI
Allorchestes angusta,2,Allorchestes angusta,489543,AZTI
Allorchestes sp.,2,Allorchestes,204540,AZTI
Almyracuma proximoculi,2,Almyracuma proximoculi,157809,AZTI
Almyracuma sp.,2,Almyracuma,157808,AZTI
Alokalliapseudes macsweenyi,2,Alokalliapseudes macsweenyi,247161,AZTI
Alpheopsis equidactylus,2,Alpheopsis equidactylus,514800,AZTI
Alpheus bellimanus,2,Alpheus bellimanus,514832,AZTI
Alpheus bellulus,2,Alpheus bellulus,514833,AZTI
Alpheus brevicristatus,2,Alpheus brevicristatus,514838,AZTI
Alpheus californiensis,2,Alpheus californiensis,514844,AZTI
Alpheus clamator,2,Alpheus clamator,514851,AZTI
Alpheus dentipes,2,Alpheus dentipes,107475,AZTI
Alpheus digitalis,2,Alpheus digitalis,514862,AZTI
Alpheus distinguendus,2,Alpheus distinguendus,210513,AZTI
Alpheus floridanus,2,Alpheus floridanus,240707,AZTI
Alpheus formosus,2,Alpheus formosus,421736,AZTI
Alpheus glaber,2,Alpheus glaber,107477,AZTI
Alpheus heterochaelis,2,Alpheus heterochaelis,158348,AZTI
Alpheus hoplocheles,2,Alpheus hoplocheles,514892,AZTI
Alpheus japonicus,2,Alpheus japonicus,514899,AZTI
Alpheus macrocheles,2,Alpheus macrocheles,107479,AZTI
Alpheus malabaricus,2,Alpheus malabaricus,210509,AZTI
Alpheus sivado,2,Alpheus sivado,585696,AZTI
Alpheus sp.,2,Alpheus,106978,AZTI
Alteutha sp.,0,Alteutha,115427,AZTI
Alvania abyssicola,1,Alvania abyssicola,146483,AZTI
Alvania beanii,1,Alvania beanii,416615,AZTI
Alvania cancellata,1,Alvania cancellata,141165,AZTI
Alvania carpenteri,1,Alvania carpenteri,181476,AZTI
Alvania cimex,1,Alvania cimex,141167,AZTI
Alvania cimicoides,1,Alvania cimicoides,141168,AZTI
Alvania colossophilus,1,Alvania colossophilus,141172,AZTI
Alvania compacta,2,Alvania compacta,580527,AZTI
Alvania crassa,1,Alvania crassa,NA,AZTI
Alvania discors,2,Alvania discors,141181,AZTI
Alvania geryonia,1,Alvania geryonia,141191,AZTI
Alvania montagui,2,Alvania montagui,597204,AZTI
Alvania montagui,2,Alvania montagui,1396405,AZTI
Alvania punctura,1,Alvania punctura,141230,AZTI
Alvania reticulata,1,Alvania reticulata,711787,AZTI
Alvania reticulata,1,Alvania reticulata,870033,AZTI
Alvania semistriata,1,Alvania semistriata,146484,AZTI
Alvania sp.,1,Alvania,138439,AZTI
Alvania testae,1,Alvania testae,141251,AZTI
Alveinus ojianus,1,Alveinus ojianus,505262,AZTI
Amaea trilobata,1,Amaea trilobata,851960,AZTI
Amaeana occidentalis,3,Amaeana occidentalis,332917,AZTI
Amaeana sp.,0,Amaeana,129685,AZTI
Amaeana trilobata,1,Amaeana trilobata,131471,AZTI
Amaena sp.,2,Amaena,NA,AZTI
Amage adspersa,1,Amage adspersa,129770,AZTI
Amage anops,2,Amage anops,332918,AZTI
Amage auricula,1,Amage auricula,129771,AZTI
Amage scutata,2,Amage scutata,326277,AZTI
Amakusanthura iberica,1,Amakusanthura iberica,118466,AZTI
Amakusanthura magnifica,1,Amakusanthura magnifica,255365,AZTI
Amakusanthura signata,1,Amakusanthura signata,255374,AZTI
Amakusanthura sp.,1,Amakusanthura,118287,AZTI
Amastigos caperatus,1,Amastigos caperatus,157156,AZTI
Amathia gracilis,1,Amathia gracilis,851589,AZTI
Amathia imbricata,1,Amathia imbricata,851593,AZTI
Amathia lendigera,1,Amathia lendigera,111659,AZTI
Amathia pruvoti,1,Amathia pruvoti,111660,AZTI
Amathia sp.,0,Amathia,111022,AZTI
Amathia verticillata,2,Amathia verticillata,851581,AZTI
Amathimysis sp.,2,Amathimysis,161530,AZTI
Amathimysis trigibba,2,Amathimysis trigibba,227050,AZTI
Ambidexter panamensis,2,Ambidexter panamensis,515389,AZTI
Ambidexter symmetricus,2,Ambidexter symmetricus,421788,AZTI
Amblyosyllis formosa,2,Amblyosyllis formosa,131245,AZTI
Amblyosyllis sp.,2,Amblyosyllis,129645,AZTI
Americamysis almyra,2,Americamysis almyra,161345,AZTI
Americamysis bahia,2,Americamysis bahia,226286,AZTI
Americamysis bigelowi,2,Americamysis bigelowi,161344,AZTI
Americamysis sp.,2,Americamysis,161519,AZTI
Americhelidium americanum,2,Americhelidium americanum,421529,AZTI
Americhelidium gurjanovae,1,Americhelidium gurjanovae,546992,AZTI
Americhelidium rectipalmum,2,Americhelidium rectipalmum,546997,AZTI
Americhelidium shoemakeri,2,Americhelidium shoemakeri,546990,AZTI
Americhelidium sp.,0,Americhelidium,415039,AZTI
Americoliva sayana,1,Americoliva sayana,815494,AZTI
Americonuphis magna,0,Americonuphis magna,332921,AZTI
Americorophium brevis,2,Americorophium brevis,431325,AZTI
Americorophium salmonis,1,Americorophium salmonis,431328,AZTI
Americorophium sp.,3,Americorophium,415041,AZTI
Americorophium spinicorne,3,Americorophium spinicorne,431330,AZTI
Americorophium stimpsoni,1,Americorophium stimpsoni,431331,AZTI
Americorophium triaeonyx,3,Americorophium triaeonyx,431332,AZTI
Ameritella agilis,2,Ameritella agilis,878476,AZTI
Ameritella cadieni,2,Ameritella cadieni,878478,AZTI
Ameritella carpenteri,2,Ameritella carpenteri,878479,AZTI
Ameritella mitchelli,3,Ameritella mitchelli,878513,AZTI
Ameritella modesta,2,Ameritella modesta,878514,AZTI
Ameritella tenella,1,Ameritella tenella,878521,AZTI
Ameritella texana,1,Ameritella texana,878522,AZTI
Ameroculodes edwardsi,1,Ameroculodes edwardsi,547000,AZTI
Ameroculodes sp.,1,Ameroculodes,391588,AZTI
Ammodytes personatus,0,Ammodytes personatus,272967,AZTI
Ammodytes tobianus,0,Ammodytes tobianus,126752,AZTI
Ammonicera rota,2,Ammonicera rota,140614,AZTI
Ammothea hilgendorfi,2,Ammothea hilgendorfi,134607,AZTI
Ammothella longipes,1,Ammothella longipes,134614,AZTI
Ammotrypane aulogaster,3,Ammotrypane aulogaster,155514,AZTI
Ammotrypane cylindricaudatus,1,Ammotrypane cylindricaudatus,339495,AZTI
Ammotrypane gymnopyge,1,Ammotrypane gymnopyge,173880,AZTI
Ampelisca abdita,3,Ampelisca abdita,158020,AZTI
Ampelisca aequicornis,1,Ampelisca aequicornis,101883,AZTI
Ampelisca agassizi,1,Ampelisca agassizi,158021,AZTI
Ampelisca amblyops,1,Ampelisca amblyops,101884,AZTI
Ampelisca anomala,1,Ampelisca anomala,101885,AZTI
Ampelisca araucana,2,Ampelisca araucana,422967,AZTI
Ampelisca armoricana,1,Ampelisca armoricana,101888,AZTI
Ampelisca bocki,1,Ampelisca bocki,422972,AZTI
Ampelisca brachycladus,2,Ampelisca brachycladus,488328,AZTI
Ampelisca brevicornis,1,Ampelisca brevicornis,101891,AZTI
Ampelisca brevisimulata,2,Ampelisca brevisimulata,421434,AZTI
Ampelisca careyi,2,Ampelisca careyi,422976,AZTI
Ampelisca cavicoxa,1,Ampelisca cavicoxa,179881,AZTI
Ampelisca cristata,2,Ampelisca cristata,421436,AZTI
Ampelisca cyclops,1,Ampelisca cyclops,488333,AZTI
Ampelisca dalmatina,1,Ampelisca dalmatina,101894,AZTI
Ampelisca diadema,2,Ampelisca diadema,101896,AZTI
Ampelisca eoa,1,Ampelisca eoa,422984,AZTI
Ampelisca eschrichtii,1,Ampelisca eschrichtii,101897,AZTI
Ampelisca gibba,1,Ampelisca gibba,101898,AZTI
Ampelisca hancocki,1,Ampelisca hancocki,422990,AZTI
Ampelisca heterodactyla,1,Ampelisca heterodactyla,101899,AZTI
Ampelisca holmesi,1,Ampelisca holmesi,421437,AZTI
Ampelisca jaffaensis,1,Ampelisca jaffaensis,101902,AZTI
Ampelisca ledoyeri,1,Ampelisca ledoyeri,101906,AZTI
Ampelisca lobata,2,Ampelisca lobata,421438,AZTI
